episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
9900,0.9791021111111111,37000,37470.0,11456.196591796876,57200,0.0,14,45220.0,9,410,25,22,18,27,25,25,33
10000,0.978891,122000,35765.0,11517.074580078124,57787,0.0,11,43960.0,15,421,29,26,18,21,27,19,26
10100,0.9786798888888889,2750,36292.5,11260.835537109375,58372,0.0,12,44180.0,6,425,16,28,17,26,26,18,29
10200,0.9784687777777777,-4750,29125.0,11005.003012695313,58952,0.0,12,37670.0,9,415,18,29,27,19,25,23,24
10300,0.9782576666666667,163000,30787.5,11414.49623046875,59525,0.0,14,40160.0,4,413,26,22,18,31,13,27,23
10400,0.9780465555555555,11500,25935.0,11159.67767578125,60111,0.0,16,35060.0,10,418,28,26,28,27,20,20,19
10500,0.9778354444444445,33500,40545.0,11380.3430078125,60700,0.0,9,45280.0,9,406,30,23,19,33,25,28,25
10600,0.9776243333333333,88000,33042.5,11276.288051757812,61288,0.0,11,41160.0,13,425,19,24,17,28,24,24,27
10700,0.9774132222222223,-61000,39697.5,11250.71068359375,61872,0.0,8,46040.0,15,408,26,27,26,23,24,19,31
10800,0.9772021111111111,-54000,23875.0,11488.37474609375,62444,0.0,18,34800.0,7,413,21,21,23,26,16,27,25
10900,0.976991,-2500,27147.5,11195.325810546876,63026,0.0,16,37240.0,11,420,27,21,28,16,22,16,32
11000,0.9767798888888889,147750,27762.5,11388.80419921875,63606,0.0,16,37370.0,16,403,34,22,23,14,31,33,20
11100,0.9765687777777777,131500,27827.5,11400.76689453125,64184,0.0,18,38080.0,9,410,23,20,25,23,28,22,27
11200,0.9763576666666667,17000,28565.0,11396.0908984375,64763,0.0,16,37700.0,13,404,23,26,30,18,26,26,26
11300,0.9761465555555555,102000,33747.5,11608.068642578124,65338,0.0,17,44120.0,6,415,24,23,21,27,19,20,26
11400,0.9759354444444445,6000,34177.5,11541.5929296875,65923,0.0,13,42720.0,6,428,19,16,26,19,29,24,24
11500,0.9757243333333333,6000,31720.0,11313.9473828125,66492,0.0,16,42060.0,14,402,27,20,17,25,22,24,32
11600,0.9755132222222223,58750,25660.0,11448.066064453125,67075,0.0,15,35220.0,9,421,28,26,21,17,22,29,19
11700,0.9753021111111111,60500,27125.0,11275.602939453125,67656,0.0,16,37370.0,6,424,25,25,18,15,24,19,31
11800,0.975091,16750,25065.0,11393.324614257812,68235,0.0,19,35210.0,8,411,23,26,30,22,17,24,26
11900,0.9748798888888889,-1500,29642.5,11417.337822265625,68819,0.0,15,38530.0,11,416,29,20,27,23,22,20,27
12000,0.9746687777777778,30000,35207.5,11202.1176171875,69397,0.0,11,43270.0,10,407,20,28,25,19,23,29,27
12100,0.9744576666666667,51500,22665.0,11439.733564453125,69979,0.0,19,33460.0,9,420,23,25,25,20,18,28,23
12200,0.9742465555555555,60500,26145.0,11590.78564453125,70563,0.0,14,34730.0,14,415,22,21,23,27,33,20,23
12300,0.9740354444444445,63000,31017.5,11437.16138671875,71146,0.0,15,40730.0,12,417,28,26,24,22,22,15,29
12400,0.9738243333333333,-13000,19327.5,11770.47984375,71715,0.0,21,30750.0,6,405,30,12,32,21,22,21,26
12500,0.9736132222222222,13250,33592.5,11119.162177734375,72292,0.0,15,43100.0,8,412,23,26,23,24,24,22,23
12600,0.9734021111111111,47750,26335.0,11581.5941015625,72872,0.0,15,35380.0,7,417,25,20,27,25,26,19,21
12700,0.973191,23750,36940.0,11254.481923828125,73453,0.0,12,45560.0,9,424,23,26,20,20,18,17,33
12800,0.9729798888888889,36750,25042.5,11432.620791015624,74026,0.0,21,37710.0,7,414,29,26,27,17,22,14,24
12900,0.9727687777777778,10750,33797.5,11212.2234375,74607,0.0,14,42180.0,5,416,26,27,20,24,17,24,27
13000,0.9725576666666667,53000,40487.5,11410.714814453126,75194,0.0,10,47530.0,9,426,26,19,23,14,21,23,35
13100,0.9723465555555556,11250,17805.0,11426.730927734376,75759,0.0,23,31440.0,11,405,28,22,22,23,30,17,18
13200,0.9721354444444444,24000,30500.0,11298.326513671875,76332,0.0,16,40220.0,9,410,19,31,21,20,21,26,25
13300,0.9719243333333334,1000,34830.0,11233.78318359375,76906,0.0,15,44380.0,9,407,19,20,23,37,24,17,27
13400,0.9717132222222222,-5750,29707.5,11556.156123046874,77491,0.0,12,37300.0,6,419,20,19,25,29,26,25,22
13500,0.9715021111111111,56250,26410.0,11400.40884765625,78056,0.0,17,37370.0,6,405,22,20,22,17,26,24,29
13600,0.971291,35500,25497.5,11524.161904296874,78633,0.0,18,36260.0,8,415,32,18,28,18,18,22,26
13700,0.9710798888888889,28500,28375.0,11524.505078125,79212,0.0,19,39420.0,13,416,20,27,27,22,21,24,22
13800,0.9708687777777778,141000,41830.0,11797.16921875,79788,0.0,10,49650.0,16,400,35,15,19,24,22,24,37
13900,0.9706576666666666,28500,24665.0,11410.079028320313,80357,0.0,16,35410.0,8,408,24,24,21,24,25,23,20
14000,0.9704465555555556,58750,30750.0,11569.058344726562,80934,0.0,15,40230.0,12,411,17,26,29,28,21,21,24
14100,0.9702354444444444,-52500,30117.5,11769.278505859374,81512,0.0,19,41600.0,8,419,18,27,23,22,22,23,24
14200,0.9700243333333334,-3000,31770.0,11553.533056640625,82089,0.0,16,41580.0,11,406,24,23,22,25,24,30,23
